Vaalilaji;Vaalipiiri-/ hyvinvointialuenro;Kuntanro;Alueen tyyppi;Äänestysaluetunnus;Vaalipiirin/hv-alueen lyhenne suomeksi;Vaalipiirin/hv-alueen lyhenne ruotsiksi;Pysyvä puoluetunniste;Vakiopuoluenumero;Listajärjestysnumero;Puolueen/ryhmän nimilyhenne suomeksi;Puolueen/ryhmän nimilyhenne ruotsiksi;Puolueen/ryhmän nimilyhenne englanniksi;Kunnan/vaalipiirin/hv-alueen/ äänestysalueen nimi suomeksi;Kunnan/vaalipiirin/hv-alueen/ äänestysalueen nimi ruotsiksi;Puolueen/ryhmän nimi suomeksi;Puolueen/ryhmän nimi ruotsiksi;Puolueen/ryhmän nimi englanniksi;Pienin ehdokasnumero;Suurin ehdokasnumero;Vaaliliittonumero;Vaaliliiton nimi suomeksi;Vaaliliiton nimi ruotsiksi;Vaalitapahtuman nimilyhenne 1. vertailuvaali;Ennakkoääniä 1. vertailuvaali;Vaalipäivän ääniä 1. vertailuvaali;Ääniä yhteensä 1. vertailuvaali;Ennakkoäänien osuus (%) 1. vertailuvaali;Vaalipäivän äänien osuus (%) 1. vertailuvaali;Osuus (%) kaikista äänistä 1. vertailuvaali;Paikat 1. vertailuvaali;Vaalitapahtuman nimilyhenne 2. vertailuvaali;Ennakkoääniä 2. vertailuvaali;Vaalipäivän ääniä 2. vertailuvaali;Ääniä yhteensä 2. vertailuvaali;Ennakkoäänien osuus (%) 2. vertailuvaali;Vaalipäivän äänien osuus (%) 2. vertailuvaali;Osuus (%) kaikista äänistä 2. vertailuvaali;Ennakkoäänet lkm;Vaalipäivän äänet lkm;Äänet yhteensä lkm;Osuus ennakkoäänistä (%);Osuus vaalipäivän äänistä (%);Osuus kaikista äänistä (%);Paikat;Äänien lukumäärän muutos 1. vertailuvaali;Ääniosuuden muutos 1. vertailuvaali;Paikkamuutos 1. vertailuvaali;Äänien lukumäärän muutos 2. vertailuvaali;Ääniosuuden muutos 2. vertailuvaali;Laskennan tila;Laskentavaihe;Viimeisin päivitys;Total Votes;Osuus(%);Voittaja;Voittaja_lyhenne
E   ;1;91;A;001A;HEL;HEL;30;11;1;PIR   ;PIR   ;PIR   ;Kruununhaka A                           ;Kronohagen A                            ;Piraattipuolue                                                                                      ;Piratpartiet                                                                                        ;Pirate Party of Finland                                                                             ;2;21;1;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;5;2;7;3;1;2;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.23;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;33;10;2;LIBE  ;LIBE  ;LIBE  ;Kruununhaka A                           ;Kronohagen A                            ;Liberaalipuolue - Vapaus valita                                                                     ;Liberalpartiet - Frihet att välja                                                                   ;The Liberal Party - Freedom to choose                                                               ;22;44;2;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;15;15;30;9;10;10;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.97;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;41;19;3;AP    ;ÖP    ;OP    ;Kruununhaka A                           ;Kronohagen A                            ;Avoin Puolue                                                                                        ;Öppna Partiet                                                                                       ;The Open Party                                                                                      ;45;52;3;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;1;3;4;1;2;1;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.13;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;43;22;4;VKK   ;VKK   ;VKK   ;Kruununhaka A                           ;Kronohagen A                            ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;53;62;4;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;5;5;0;3;2;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.16;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;15;6;5;VAS   ;VÄNST ;LEFT  ;Kruununhaka A                           ;Kronohagen A                            ;Vasemmistoliitto                                                                                    ;Vänsterförbundet                                                                                    ;The Left Alliance                                                                                   ;63;85;5;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;174;136;310;106;94;100;0;0;0;0;0;0;V;T;2,02304E+13;3090;10.03;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;5;7;6;RKP   ;SFP   ;SPP   ;Kruununhaka A                           ;Kronohagen A                            ;Suomen ruotsalainen kansanpuolue                                                                    ;Svenska folkpartiet i Finland                                                                       ;The Swedish People's Party of Finland                                                               ;86;108;6;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;136;106;242;83;73;78;0;0;0;0;0;0;V;T;2,02304E+13;3090;7.83;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;40;9;7;LIIK  ;RN    ;MOVE  ;Kruununhaka A                           ;Kronohagen A                            ;Liike Nyt                                                                                           ;Rörelse.nu                                                                                          ;Movement Now                                                                                        ;109;131;7;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;15;30;45;9;21;15;0;0;0;0;0;0;V;T;2,02304E+13;3090;1.46;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;4;3;8;KOK   ;SAML  ;NCP   ;Kruununhaka A                           ;Kronohagen A                            ;Kansallinen Kokoomus                                                                                ;Samlingspartiet                                                                                     ;National Coalition Party                                                                            ;132;154;8;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;704;576;1280;428;398;414;0;0;0;0;0;0;V;T;2,02304E+13;3090;41.42;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;8;20;9;SKP   ;FKP   ;CPF   ;Kruununhaka A                           ;Kronohagen A                            ;Suomen Kommunistinen Puolue                                                                         ;Finlands Kommunistiska Parti                                                                        ;The Communist Party of Finland                                                                      ;155;168;9;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;1;2;3;1;1;1;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.1;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;1;1;10;SDP   ;SDP   ;SDP   ;Kruununhaka A                           ;Kronohagen A                            ;Suomen Sosialidemokraattinen Puolue                                                                 ;Finlands Socialdemokratiska Parti                                                                   ;The Finnish Social Democratic Party                                                                 ;169;191;10;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;197;216;413;120;149;134;0;0;0;0;0;0;V;T;2,02304E+13;3090;13.37;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;23;2;11;PS    ;SAF   ;FINNS ;Kruununhaka A                           ;Kronohagen A                            ;Perussuomalaiset                                                                                    ;Sannfinländarna                                                                                     ;The Finns Party                                                                                     ;192;214;11;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;97;87;184;59;60;60;0;0;0;0;0;0;V;T;2,02304E+13;3090;5.95;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;13;5;12;VIHR  ;GRÖNA ;GREEN ;Kruununhaka A                           ;Kronohagen A                            ;Vihreä liitto                                                                                       ;Gröna förbundet                                                                                     ;The Greens                                                                                          ;215;237;12;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;238;217;455;145;150;147;0;0;0;0;0;0;V;T;2,02304E+13;3090;14.72;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;38;17;13;SKE   ;FFF   ;FNF   ;Kruununhaka A                           ;Kronohagen A                            ;Suomen Kansa Ensin                                                                                  ;Finska Folket Först                                                                                 ;Finnish Nation First                                                                                ;238;239;13;SKE+KRIP+VL                             ;FFF+KRIP+FA                             ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;1;1;0;1;0;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.03;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;44;23;14;VL    ;FA    ;VL    ;Kruununhaka A                           ;Kronohagen A                            ;Vapauden liitto                                                                                     ;Frihetsalliansen                                                                                    ;Vapauden liitto                                                                                     ;240;255;13;SKE+KRIP+VL                             ;FFF+KRIP+FA                             ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;8;8;16;5;6;5;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.52;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;42;21;15;KRIP  ;KRIP  ;CRYP  ;Kruununhaka A                           ;Kronohagen A                            ;Kristallipuolue                                                                                     ;Kristall Parti                                                                                      ;Crystal Party                                                                                       ;256;260;13;SKE+KRIP+VL                             ;FFF+KRIP+FA                             ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;1;1;0;1;0;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.03;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;36;14;16;FP    ;FP    ;FP    ;Kruununhaka A                           ;Kronohagen A                            ;Feministinen puolue                                                                                 ;Feministiska partiet                                                                                ;The Feminist Party                                                                                  ;261;266;14;EOP+FP                                  ;DRP+FP                                  ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;1;1;0;1;0;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.03;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;34;12;17;EOP   ;DRP   ;AJP   ;Kruununhaka A                           ;Kronohagen A                            ;Eläinoikeuspuolue                                                                                   ;Djurrättspartiet                                                                                    ;Animal Justice Party of Finland                                                                     ;267;270;14;EOP+FP                                  ;DRP+FP                                  ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;1;1;2;1;1;1;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.06;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;2;4;18;KESK  ;CENT  ;CENT  ;Kruununhaka A                           ;Kronohagen A                            ;Suomen Keskusta                                                                                     ;Centern i Finland                                                                                   ;Centre Party of Finland                                                                             ;271;281;15;KESK+KD+KL                              ;CENT+KD+KL                              ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;32;18;50;19;12;16;0;0;0;0;0;0;V;T;2,02304E+13;3090;1.62;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;9;8;19;KD    ;KD    ;CD    ;Kruununhaka A                           ;Kronohagen A                            ;Suomen Kristillisdemokraatit (KD)                                                                   ;Kristdemokraterna i Finland (KD)                                                                    ;Christian Democrats in Finland                                                                      ;282;289;15;KESK+KD+KL                              ;CENT+KD+KL                              ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;16;17;33;10;12;11;0;0;0;0;0;0;V;T;2,02304E+13;3090;1.07;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;37;16;20;KL    ;KL    ;FRM   ;Kruununhaka A                           ;Kronohagen A                            ;Korjausliike                                                                                        ;Korjausliike                                                                                        ;Finnish Reform Movement                                                                             ;290;293;15;KESK+KD+KL                              ;CENT+KD+KL                              ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;3;5;8;2;3;3;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.26;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;121;99;21;E294  ;E294  ;E294  ;Kruununhaka A                           ;Kronohagen A                            ;Jyrki Helminen                                                                                      ;Jyrki Helminen                                                                                      ;Jyrki Helminen                                                                                      ;294;294;16;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;0;0;0;0;0;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.0;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;30;11;1;PIR   ;PIR   ;PIR   ;Kruununhaka B                           ;Kronohagen B                            ;Piraattipuolue                                                                                      ;Piratpartiet                                                                                        ;Pirate Party of Finland                                                                             ;2;21;1;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;1;3;4;1;2;1;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.15;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;33;10;2;LIBE  ;LIBE  ;LIBE  ;Kruununhaka B                           ;Kronohagen B                            ;Liberaalipuolue - Vapaus valita                                                                     ;Liberalpartiet - Frihet att välja                                                                   ;The Liberal Party - Freedom to choose                                                               ;22;44;2;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;10;11;21;7;9;8;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.76;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;41;19;3;AP    ;ÖP    ;OP    ;Kruununhaka B                           ;Kronohagen B                            ;Avoin Puolue                                                                                        ;Öppna Partiet                                                                                       ;The Open Party                                                                                      ;45;52;3;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;2;1;3;1;1;1;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.11;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;43;22;4;VKK   ;VKK   ;VKK   ;Kruununhaka B                           ;Kronohagen B                            ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;53;62;4;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;3;3;0;2;1;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.11;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;15;6;5;VAS   ;VÄNST ;LEFT  ;Kruununhaka B                           ;Kronohagen B                            ;Vasemmistoliitto                                                                                    ;Vänsterförbundet                                                                                    ;The Left Alliance                                                                                   ;63;85;5;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;159;110;269;104;89;98;0;0;0;0;0;0;V;T;2,02304E+13;2752;9.77;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;5;7;6;RKP   ;SFP   ;SPP   ;Kruununhaka B                           ;Kronohagen B                            ;Suomen ruotsalainen kansanpuolue                                                                    ;Svenska folkpartiet i Finland                                                                       ;The Swedish People's Party of Finland                                                               ;86;108;6;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;113;73;186;74;59;68;0;0;0;0;0;0;V;T;2,02304E+13;2752;6.76;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;40;9;7;LIIK  ;RN    ;MOVE  ;Kruununhaka B                           ;Kronohagen B                            ;Liike Nyt                                                                                           ;Rörelse.nu                                                                                          ;Movement Now                                                                                        ;109;131;7;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;17;23;40;11;19;15;0;0;0;0;0;0;V;T;2,02304E+13;2752;1.45;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;4;3;8;KOK   ;SAML  ;NCP   ;Kruununhaka B                           ;Kronohagen B                            ;Kansallinen Kokoomus                                                                                ;Samlingspartiet                                                                                     ;National Coalition Party                                                                            ;132;154;8;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;564;472;1036;371;384;376;0;0;0;0;0;0;V;T;2,02304E+13;2752;37.65;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;8;20;9;SKP   ;FKP   ;CPF   ;Kruununhaka B                           ;Kronohagen B                            ;Suomen Kommunistinen Puolue                                                                         ;Finlands Kommunistiska Parti                                                                        ;The Communist Party of Finland                                                                      ;155;168;9;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;3;3;6;2;2;2;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.22;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;1;1;10;SDP   ;SDP   ;SDP   ;Kruununhaka B                           ;Kronohagen B                            ;Suomen Sosialidemokraattinen Puolue                                                                 ;Finlands Socialdemokratiska Parti                                                                   ;The Finnish Social Democratic Party                                                                 ;169;191;10;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;232;181;413;152;147;150;0;0;0;0;0;0;V;T;2,02304E+13;2752;15.01;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;23;2;11;PS    ;SAF   ;FINNS ;Kruununhaka B                           ;Kronohagen B                            ;Perussuomalaiset                                                                                    ;Sannfinländarna                                                                                     ;The Finns Party                                                                                     ;192;214;11;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;124;79;203;81;64;74;0;0;0;0;0;0;V;T;2,02304E+13;2752;7.38;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;13;5;12;VIHR  ;GRÖNA ;GREEN ;Kruununhaka B                           ;Kronohagen B                            ;Vihreä liitto                                                                                       ;Gröna förbundet                                                                                     ;The Greens                                                                                          ;215;237;12;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;240;230;470;158;187;171;0;0;0;0;0;0;V;T;2,02304E+13;2752;17.08;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;38;17;13;SKE   ;FFF   ;FNF   ;Kruununhaka B                           ;Kronohagen B                            ;Suomen Kansa Ensin                                                                                  ;Finska Folket Först                                                                                 ;Finnish Nation First                                                                                ;238;239;13;SKE+KRIP+VL                             ;FFF+KRIP+FA                             ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;0;0;0;0;0;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.0;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;44;23;14;VL    ;FA    ;VL    ;Kruununhaka B                           ;Kronohagen B                            ;Vapauden liitto                                                                                     ;Frihetsalliansen                                                                                    ;Vapauden liitto                                                                                     ;240;255;13;SKE+KRIP+VL                             ;FFF+KRIP+FA                             ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;3;12;15;2;10;5;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.55;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;42;21;15;KRIP  ;KRIP  ;CRYP  ;Kruununhaka B                           ;Kronohagen B                            ;Kristallipuolue                                                                                     ;Kristall Parti                                                                                      ;Crystal Party                                                                                       ;256;260;13;SKE+KRIP+VL                             ;FFF+KRIP+FA                             ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;3;2;5;2;2;2;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.18;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;36;14;16;FP    ;FP    ;FP    ;Kruununhaka B                           ;Kronohagen B                            ;Feministinen puolue                                                                                 ;Feministiska partiet                                                                                ;The Feminist Party                                                                                  ;261;266;14;EOP+FP                                  ;DRP+FP                                  ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;5;0;5;3;0;2;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.18;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;34;12;17;EOP   ;DRP   ;AJP   ;Kruununhaka B                           ;Kronohagen B                            ;Eläinoikeuspuolue                                                                                   ;Djurrättspartiet                                                                                    ;Animal Justice Party of Finland                                                                     ;267;270;14;EOP+FP                                  ;DRP+FP                                  ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;2;0;2;1;0;1;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.07;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;2;4;18;KESK  ;CENT  ;CENT  ;Kruununhaka B                           ;Kronohagen B                            ;Suomen Keskusta                                                                                     ;Centern i Finland                                                                                   ;Centre Party of Finland                                                                             ;271;281;15;KESK+KD+KL                              ;CENT+KD+KL                              ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;15;10;25;10;8;9;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.91;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;9;8;19;KD    ;KD    ;CD    ;Kruununhaka B                           ;Kronohagen B                            ;Suomen Kristillisdemokraatit (KD)                                                                   ;Kristdemokraterna i Finland (KD)                                                                    ;Christian Democrats in Finland                                                                      ;282;289;15;KESK+KD+KL                              ;CENT+KD+KL                              ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;24;14;38;16;11;14;0;0;0;0;0;0;V;T;2,02304E+13;2752;1.38;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;37;16;20;KL    ;KL    ;FRM   ;Kruununhaka B                           ;Kronohagen B                            ;Korjausliike                                                                                        ;Korjausliike                                                                                        ;Finnish Reform Movement                                                                             ;290;293;15;KESK+KD+KL                              ;CENT+KD+KL                              ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;5;3;8;3;2;3;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.29;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;002A;HEL;HEL;121;99;21;E294  ;E294  ;E294  ;Kruununhaka B                           ;Kronohagen B                            ;Jyrki Helminen                                                                                      ;Jyrki Helminen                                                                                      ;Jyrki Helminen                                                                                      ;294;294;16;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;0;0;0;0;0;0;0;0;0;0;0;V;T;2,02304E+13;2752;0.0;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;30;11;1;PIR   ;PIR   ;PIR   ;Kaartinkaupunki                         ;Gardesstaden                            ;Piraattipuolue                                                                                      ;Piratpartiet                                                                                        ;Pirate Party of Finland                                                                             ;2;21;1;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;2;4;6;1;4;2;0;0;0;0;0;0;V;T;2,02304E+13;2708;0.22;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;33;10;2;LIBE  ;LIBE  ;LIBE  ;Kaartinkaupunki                         ;Gardesstaden                            ;Liberaalipuolue - Vapaus valita                                                                     ;Liberalpartiet - Frihet att välja                                                                   ;The Liberal Party - Freedom to choose                                                               ;22;44;2;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;6;11;17;4;10;6;0;0;0;0;0;0;V;T;2,02304E+13;2708;0.63;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;41;19;3;AP    ;ÖP    ;OP    ;Kaartinkaupunki                         ;Gardesstaden                            ;Avoin Puolue                                                                                        ;Öppna Partiet                                                                                       ;The Open Party                                                                                      ;45;52;3;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;4;1;5;2;1;2;0;0;0;0;0;0;V;T;2,02304E+13;2708;0.18;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;43;22;4;VKK   ;VKK   ;VKK   ;Kaartinkaupunki                         ;Gardesstaden                            ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;53;62;4;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;1;1;2;1;1;1;0;0;0;0;0;0;V;T;2,02304E+13;2708;0.07;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;15;6;5;VAS   ;VÄNST ;LEFT  ;Kaartinkaupunki                         ;Gardesstaden                            ;Vasemmistoliitto                                                                                    ;Vänsterförbundet                                                                                    ;The Left Alliance                                                                                   ;63;85;5;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;64;36;100;39;34;37;0;0;0;0;0;0;V;T;2,02304E+13;2708;3.69;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;5;7;6;RKP   ;SFP   ;SPP   ;Kaartinkaupunki                         ;Gardesstaden                            ;Suomen ruotsalainen kansanpuolue                                                                    ;Svenska folkpartiet i Finland                                                                       ;The Swedish People's Party of Finland                                                               ;86;108;6;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;283;139;422;172;131;156;0;0;0;0;0;0;V;T;2,02304E+13;2708;15.58;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;40;9;7;LIIK  ;RN    ;MOVE  ;Kaartinkaupunki                         ;Gardesstaden                            ;Liike Nyt                                                                                           ;Rörelse.nu                                                                                          ;Movement Now                                                                                        ;109;131;7;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;11;21;32;7;20;12;0;0;0;0;0;0;V;T;2,02304E+13;2708;1.18;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;003A;HEL;HEL;4;3;8;KOK   ;SAML  ;NCP   ;Kaartinkaupunki                         ;Gardesstaden                            ;Kansallinen Kokoomus                                                                                ;Samlingspartiet                                                                                     ;National Coalition Party                                                                            ;132;154;8;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;900;549;1449;546;518;535;0;0;0;0;0;0;V;T;2,02304E+13;2708;53.51;Kansallinen Kokoomus                                                                                ;KOK   
